# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -b 2048 -i 127100M /dev/sdd2 rescue.img rescue.log
# current_pos  current_status
0x1DDBF13000     *
#      pos        size  status
0x43A9CD000  0x00006000  *
0x43A9D3000  0x00084000  +
0x43AA57000  0x0000C000  *
0x43AA63000  0x00C7D000  +
0x43B6E0000  0x00003000  *
0x43B6E3000  0x00124000  +
0x43B807000  0x0000C000  *
0x43B813000  0x0007E000  +
0x43B891000  0x00002000  *
0x43B893000  0x00087000  +
0x43B91A000  0x00009000  *
0x43B923000  0x00081000  +
0x43B9A4000  0x0000F000  *
0x43B9B3000  0x0007B000  +
0x43BA2E000  0x00005000  *
0x43BA33000  0x0010F000  +
0x43BB42000  0x00001000  *
0x43BB43000  0x002C3000  +
0x43BE06000  0x0000D000  *
0x43BE13000  0x0AD40000  +
0x446B53000  0x00010000  *
0x446B63000  0x0007A000  +
0x446BDD000  0x00006000  *
0x446BE3000  0x013AA000  +
0x447F8D000  0x00006000  *
0x447F93000  0x00083000  +
0x448016000  0x0000D000  *
0x448023000  0x0011B000  +
0x44813E000  0x00005000  *
0x448143000  0x00085000  +
0x4481C8000  0x0000B000  *
0x4481D3000  0x0007E000  +
0x448251000  0x00002000  *
0x448253000  0x081DD000  +
0x450430000  0x00003000  *
0x450433000  0x00087000  +
0x4504BA000  0x00009000  *
0x4504C3000  0x071D4000  +
0x457697000  0x0000C000  *
0x4576A3000  0x0007E000  +
0x457721000  0x00002000  *
0x457723000  0x00087000  +
0x4577AA000  0x00009000  *
0x4577B3000  0x00081000  +
0x457834000  0x0000F000  *
0x457843000  0x0007B000  +
0x4578BE000  0x00005000  *
0x4578C3000  0x00085000  +
0x457948000  0x0000B000  *
0x457953000  0x0011C000  +
0x457A6F000  0x00004000  *
0x457A73000  0x00086000  +
0x457AF9000  0x0000A000  *
0x457B03000  0x00080000  +
0x457B83000  0x00010000  *
0x457B93000  0x0007A000  +
0x457C0D000  0x00006000  *
0x457C13000  0x00083000  +
0x457C96000  0x0000D000  *
0x457CA3000  0x0007D000  +
0x457D20000  0x00003000  *
0x457D23000  0x00087000  +
0x457DAA000  0x00009000  *
0x457DB3000  0x00081000  +
0x457E34000  0x0000F000  *
0x457E43000  0x00118000  +
0x457F5B000  0x00008000  *
0x457F63000  0x00082000  +
0x457FE5000  0x0000E000  *
0x457FF3000  0x0007C000  +
0x45806F000  0x00004000  *
0x458073000  0x00086000  +
0x4580F9000  0x0000A000  *
0x458103000  0x0007F000  +
0x458182000  0x00001000  *
0x458183000  0x00089000  +
0x45820C000  0x00007000  *
0x458213000  0x00083000  +
0x458296000  0x0000D000  *
0x4582A3000  0x0007D000  +
0x458320000  0x00003000  *
0x458323000  0x00124000  +
0x458447000  0x0000C000  *
0x458453000  0x0007E000  +
0x4584D1000  0x00002000  *
0x4584D3000  0x00088000  +
0x45855B000  0x00008000  *
0x458563000  0x00082000  +
0x4585E5000  0x0000E000  *
0x4585F3000  0x0007B000  +
0x45866E000  0x00005000  *
0x458673000  0x00085000  +
0x4586F8000  0x0000B000  *
0x458703000  0x0007F000  +
0x458782000  0x00001000  *
0x458783000  0x00089000  +
0x45880C000  0x00007000  *
0x458813000  0x00120000  +
0x458933000  0x00010000  *
0x458943000  0x0007A000  +
0x4589BD000  0x00006000  *
0x4589C3000  0x00084000  +
0x458A47000  0x0000C000  *
0x458A53000  0x0007E000  +
0x458AD1000  0x00002000  *
0x458AD3000  0x00087000  +
0x458B5A000  0x00009000  *
0x458B63000  0x00081000  +
0x458BE4000  0x0000F000  *
0x458BF3000  0x0007B000  +
0x458C6E000  0x00005000  *
0x458C73000  0x00085000  +
0x458CF8000  0x0000B000  *
0x458D03000  0x0011C000  +
0x458E1F000  0x00004000  *
0x458E23000  0x00086000  +
0x458EA9000  0x0000A000  *
0x458EB3000  0x00080000  +
0x458F33000  0x00010000  *
0x458F43000  0x0007A000  +
0x458FBD000  0x00006000  *
0x458FC3000  0x00083000  +
0x459046000  0x0000D000  *
0x459053000  0x0007D000  +
0x4590D0000  0x00003000  *
0x4590D3000  0x00087000  +
0x45915A000  0x00009000  *
0x459163000  0x00081000  +
0x4591E4000  0x0000F000  *
0x4591F3000  0x00118000  +
0x45930B000  0x00008000  *
0x459313000  0x00082000  +
0x459395000  0x0000E000  *
0x4593A3000  0x0007C000  +
0x45941F000  0x00004000  *
0x459423000  0x00086000  +
0x4594A9000  0x0000A000  *
0x4594B3000  0x0007F000  +
0x459532000  0x00001000  *
0x459533000  0x00089000  +
0x4595BC000  0x00007000  *
0x4595C3000  0x00083000  +
0x459646000  0x0000D000  *
0x459653000  0x0CEA0000  +
0x4664F3000  0x00010000  *
0x466503000  0x0007A000  +
0x46657D000  0x00006000  *
0x466583000  0x00121000  +
0x4666A4000  0x0000F000  *
0x4666B3000  0x0007B000  +
0x46672E000  0x00005000  *
0x466733000  0x00085000  +
0x4667B8000  0x0000B000  *
0x4667C3000  0x0007E000  +
0x466841000  0x00002000  *
0x466843000  0x00088000  +
0x4668CB000  0x00008000  *
0x4668D3000  0x00082000  +
0x466955000  0x0000E000  *
0x466963000  0x0007C000  +
0x4669DF000  0x00004000  *
0x4669E3000  0x00086000  +
0x466A69000  0x0000A000  *
0x466A73000  0x0011D000  +
0x466B90000  0x00003000  *
0x466B93000  0x00087000  +
0x466C1A000  0x00009000  *
0x466C23000  0x00081000  +
0x466CA4000  0x0000F000  *
0x466CB3000  0x0007A000  +
0x466D2D000  0x00006000  *
0x466D33000  0x00084000  +
0x466DB7000  0x0000C000  *
0x466DC3000  0x0007E000  +
0x466E41000  0x00002000  *
0x466E43000  0x00088000  +
0x466ECB000  0x00008000  *
0x466ED3000  0x00082000  +
0x466F55000  0x0000E000  *
0x466F63000  0x00119000  +
0x46707C000  0x00007000  *
0x467083000  0x00083000  +
0x467106000  0x0000D000  *
0x467113000  0x0007D000  +
0x467190000  0x00003000  *
0x467193000  0x00086000  +
0x467219000  0x0000A000  *
0x467223000  0x00080000  +
0x4672A3000  0x00010000  *
0x4672B3000  0x0007A000  +
0x46732D000  0x00006000  *
0x467333000  0x00084000  +
0x4673B7000  0x0000C000  *
0x4673C3000  0x0007E000  +
0x467441000  0x00002000  *
0x467443000  0x00125000  +
0x467568000  0x0000B000  *
0x467573000  0x0007F000  +
0x4675F2000  0x00001000  *
0x4675F3000  0x00089000  +
0x46767C000  0x00007000  *
0x467683000  0x00082000  +
0x467705000  0x0000E000  *
0x467713000  0x0007C000  +
0x46778F000  0x00004000  *
0x467793000  0x00086000  +
0x467819000  0x0000A000  *
0x467823000  0x00080000  +
0x4678A3000  0x00010000  *
0x4678B3000  0x0007A000  +
0x46792D000  0x00006000  *
0x467933000  0x00121000  +
0x467A54000  0x0000F000  *
0x467A63000  0x0007B000  +
0x467ADE000  0x00005000  *
0x467AE3000  0x00085000  +
0x467B68000  0x0000B000  *
0x467B73000  0x0007E000  +
0x467BF1000  0x00002000  *
0x467BF3000  0x00088000  +
0x467C7B000  0x00008000  *
0x467C83000  0x00082000  +
0x467D05000  0x0000E000  *
0x467D13000  0x0007C000  +
0x467D8F000  0x00004000  *
0x467D93000  0x00086000  +
0x467E19000  0x0000A000  *
0x467E23000  0x0011D000  +
0x467F40000  0x00003000  *
0x467F43000  0x00087000  +
0x467FCA000  0x00009000  *
0x467FD3000  0x00081000  +
0x468054000  0x0000F000  *
0x468063000  0x0007A000  +
0x4680DD000  0x00006000  *
0x4680E3000  0x00084000  +
0x468167000  0x0000C000  *
0x468173000  0x0007E000  +
0x4681F1000  0x00002000  *
0x4681F3000  0x00088000  +
0x46827B000  0x00008000  *
0x468283000  0x00082000  +
