# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue -f -n -d /dev/sda /mnt/nas/ddrescue/example.img /mnt/nas/ddrescue/example.log
# current_pos  current_status
0x30E8F7200     ?
#      pos        size  status
0xCC29D200  0x0000EC00  +
0xCC2ABE00  0x00000200  -
0xCC2AC000  0x00001400  *
0xCC2AD400  0x00000200  -
0xCC2AD600  0x00010000  *
0xCC2BD600  0x00090000  +
0xCC34D600  0x00010000  *
0xCC35D600  0x00160000  +
0xCC4BD600  0x00010000  *
0xCC4CD600  0x00010000  +
0xCC4DD600  0x00010000  *
0xCC4ED600  0x00090000  +
0xCC57D600  0x00010000  *
0xCC58D600  0x002E0000  +
0xCC86D600  0x00010000  *
0xCC87D600  0x004B0000  +
0xCCD2D600  0x00010000  *
0xCCD3D600  0x00050000  +
0xCCD8D600  0x00010000  *
0xCCD9D600  0x00180000  +
0xCCF1D600  0x00010000  *
0xCCF2D600  0x00060000  +
0xCCF8D600  0x00010000  *
0xCCF9D600  0x00270000  +
0xCD20D600  0x00010000  *
0xCD21D600  0x00040000  +
0xCD25D600  0x00010000  *
0xCD26D600  0x00010000  +
0xCD27D600  0x00010000  *
0xCD28D600  0x00010000  +
0xCD29D600  0x00010000  *
0xCD2AD600  0x00040000  +
0xCD2ED600  0x00010000  *
0xCD2FD600  0x00260000  +
0xCD55D600  0x00010000  *
0xCD56D600  0x00090000  +
0xCD5FD600  0x00010000  *
0xCD60D600  0x00080000  +
0xCD68D600  0x00010000  *
0xCD69D600  0x00030000  +
0xCD6CD600  0x00010000  *
0xCD6DD600  0x00100000  +
0xCD7DD600  0x00010000  *
0xCD7ED600  0x00020000  +
0xCD80D600  0x00010000  *
0xCD81D600  0x00020000  +
0xCD83D600  0x00010000  *
0xCD84D600  0x00120000  +
0xCD96D600  0x00010000  *
0xCD97D600  0x00040000  +
0xCD9BD600  0x00010000  *
0xCD9CD600  0x00040000  +
0xCDA0D600  0x00010000  *
0xCDA1D600  0x00240000  +
0xCDC5D600  0x00010000  *
0xCDC6D600  0x00090000  +
0xCDCFD600  0x00010000  *
0xCDD0D600  0x01080000  +
0xCED8D600  0x00010000  *
0xCED9D600  0x000D0000  +
0xCEE6D600  0x00010000  *
0xCEE7D600  0x00040000  +
0xCEEBD600  0x00010000  *
0xCEECD600  0x0000E800  +
0xCEEDBE00  0x00000200  -
0xCEEDC000  0x00001800  *
0xCEEDD800  0x00050000  +
0xCEF2D800  0x00010000  *
0xCEF3D800  0x00050000  +
0xCEF8D800  0x00010000  *
0xCEF9D800  0x00000200  -
0xCEF9DA00  0x00010000  *
0xCEFADA00  0x00000400  +
0xCEFADE00  0x00000200  -
0xCEFAE000  0x0001FC00  *
0xCEFCDC00  0x00033200  +
0xCF000E00  0x00000200  -
0xCF001000  0x0000C600  *
0xCF00D600  0x0000D800  +
0xCF01AE00  0x00000200  -
0xCF01B000  0x00002800  *
0xCF01D800  0x00010000  +
0xCF02D800  0x00010000  *
0xCF03D800  0x00009600  +
0xCF046E00  0x00000200  -
0xCF047000  0x00006A00  *
0xCF04DA00  0x00010000  +
0xCF05DA00  0x00010000  *
0xCF06DA00  0x0000F400  +
0xCF07CE00  0x00000200  -
0xCF07D000  0x00000C00  *
0xCF07DC00  0x00000200  -
0xCF07DE00  0x00010000  *
0xCF08DE00  0x00050000  +
0xCF0DDE00  0x00010000  *
0xCF0EDE00  0x00003000  +
0xCF0F0E00  0x00000200  -
0xCF0F1000  0x0000D000  *
0xCF0FE000  0x000E0000  +
0xCF1DE000  0x00010000  *
0xCF1EE000  0x00120000  +
0xCF30E000  0x00010000  *
0xCF31E000  0x00003E00  +
0xCF321E00  0x00000200  -
0xCF322000  0x0000C200  *
0xCF32E200  0x00000200  -
0xCF32E400  0x00010000  *
0xCF33E400  0x01850000  +
0xD0B8E400  0x00010000  *
0xD0B9E400  0x01650000  +
0xD21EE400  0x00010000  *
0xD21FE400  0x00000200  -
0xD21FE600  0x00010000  *
0xD220E600  0x84120000  +
0x15632E600  0x00010000  *
0x15633E600  0x00000200  -
0x15633E800  0x00010000  *
0x15634E800  0x00000200  -
0x15634EA00  0x00020000  *
0x15636EA00  0x10510000  +
0x16687EA00  0x00010000  *
0x16688EA00  0x00000200  -
0x16688EC00  0x00010000  *
0x16689EC00  0x00080000  +
0x16691EC00  0x00010000  *
0x16692EC00  0x00010000  +
0x16693EC00  0x00010000  *
0x16694EC00  0x07A00000  +
0x16E34EC00  0x00010000  *
0x16E35EC00  0x00000200  -
0x16E35EE00  0x00010000  *
0x16E36EE00  0x00000200  -
0x16E36F000  0x00020000  *
0x16E38F000  0x0000B600  +
0x16E39A600  0x00000200  -
0x16E39A800  0x00034A00  *
0x16E3CF200  0x00000200  -
0x16E3CF400  0x00069400  *
0x16E438800  0x53032800  +
0x1C146B000  0x00010000  *
0x1C147B000  0x00000400  +
0x1C147B400  0x00000200  -
0x1C147B600  0x0000FC00  *
0x1C148B200  0x00000200  -
0x1C148B400  0x00010000  *
0x1C149B400  0x00000200  -
0x1C149B600  0x00020000  *
0x1C14BB600  0x12250000  +
0x1D370B600  0x00010000  *
0x1D371B600  0x01520000  +
0x1D4C3B600  0x00010000  *
0x1D4C4B600  0x00000200  -
0x1D4C4B800  0x00010000  *
0x1D4C5B800  0x022A0000  +
0x1D6EFB800  0x00010000  *
0x1D6F0B800  0x0000E600  +
0x1D6F19E00  0x00000200  -
0x1D6F1A000  0x00001A00  *
0x1D6F1BA00  0x004F0000  +
0x1D740BA00  0x00010000  *
0x1D741BA00  0x06CC0000  +
0x1DE0DBA00  0x00010000  *
0x1DE0EBA00  0x00FB0000  +
0x1DF09BA00  0x00010000  *
0x1DF0ABA00  0x00000200  -
0x1DF0ABC00  0x00010000  *
0x1DF0BBC00  0x00ED0000  +
