# Rescue Logfile. Created by GNU ddrescue version 1.14
# Command line: ddrescue --direct -i 6291519b -s 8b --try-again --retrim /dev/sda ./rescue.img ./rescue.log
# current_pos  current_status
0xC0008A00     +
#      pos        size  status
0xBDCA6800  0x00000400  -
0xBDCA6C00  0x00000200  +
0xBDCA6E00  0x00000600  -
0xBDCA7400  0x00000400  +
0xBDCA7800  0x00000400  -
0xBDCA7C00  0x00000200  +
0xBDCA7E00  0x00000800  -
0xBDCA8600  0x00000400  +
0xBDCA8A00  0x00000400  -
0xBDCA8E00  0x00005000  +
0xBDCADE00  0x00000C00  -
0xBDCAEA00  0x00000200  +
0xBDCAEC00  0x00000800  -
0xBDCAF400  0x00000200  +
0xBDCAF600  0x00000200  -
0xBDCAF800  0x00000200  +
0xBDCAFA00  0x00000200  -
0xBDCAFC00  0x00000200  +
0xBDCAFE00  0x00000E00  -
0xBDCB0C00  0x00000200  +
0xBDCB0E00  0x00000600  -
0xBDCB1400  0x00000200  +
0xBDCB1600  0x00001600  -
0xBDCB2C00  0x00000200  +
0xBDCB2E00  0x00000600  -
0xBDCB3400  0x00000200  +
0xBDCB3600  0x00000200  -
0xBDCB3800  0x00000400  +
0xBDCB3C00  0x00000400  -
0xBDCB4000  0x00000A00  +
0xBDCB4A00  0x00000200  -
0xBDCB4C00  0x00001A00  +
0xBDCB6600  0x00000200  -
0xBDCB6800  0x00000600  +
0xBDCB6E00  0x00000A00  -
0xBDCB7800  0x00003600  +
0xBDCBAE00  0x00002000  -
0xBDCBCE00  0x00000200  +
0xBDCBD000  0x00000C00  -
0xBDCBDC00  0x00000200  +
0xBDCBDE00  0x00000200  -
0xBDCBE000  0x00000400  +
0xBDCBE400  0x00000200  -
0xBDCBE600  0x00000C00  +
0xBDCBF200  0x00000200  -
0xBDCBF400  0x00000A00  +
0xBDCBFE00  0x00000800  -
0xBDCC0600  0x00000C00  +
0xBDCC1200  0x00000200  -
0xBDCC1400  0x00000200  +
0xBDCC1600  0x00000200  -
0xBDCC1800  0x00000400  +
0xBDCC1C00  0x00000200  -
0xBDCC1E00  0x00000400  +
0xBDCC2200  0x00000200  -
0xBDCC2400  0x00000200  +
0xBDCC2600  0x00000200  -
0xBDCC2800  0x00000400  +
0xBDCC2C00  0x00000200  -
0xBDCC2E00  0x00000800  +
0xBDCC3600  0x00000200  -
0xBDCC3800  0x00000A00  +
0xBDCC4200  0x00000200  -
0xBDCC4400  0x00000200  +
0xBDCC4600  0x00000200  -
0xBDCC4800  0x00000400  +
0xBDCC4C00  0x00000200  -
0xBDCC4E00  0x00000200  +
0xBDCC5000  0x00000200  -
0xBDCC5200  0x00000400  +
0xBDCC5600  0x00000200  -
0xBDCC5800  0x00000600  +
0xBDCC5E00  0x00000400  -
0xBDCC6200  0x00001C00  +
0xBDCC7E00  0x00000E00  -
0xBDCC8C00  0x00000200  +
0xBDCC8E00  0x00001000  -
0xBDCC9E00  0x00000200  +
0xBDCCA000  0x00000200  -
0xBDCCA200  0x00000200  +
0xBDCCA400  0x00000E00  -
0xBDCCB200  0x00001E00  +
0xBDCCD000  0x00000200  -
0xBDCCD200  0x00001C00  +
0xBDCCEE00  0x00000200  -
0xBDCCF000  0x00015E00  +
0xBDCE4E00  0x00000C00  -
0xBDCE5A00  0x00000600  +
0xBDCE6000  0x00000200  -
0xBDCE6200  0x00000200  +
0xBDCE6400  0x00000200  -
0xBDCE6600  0x00009800  +
0xBDCEFE00  0x00001000  -
0xBDCF0E00  0x00001000  +
0xBDCF1E00  0x00000600  -
0xBDCF2400  0x00000200  +
0xBDCF2600  0x00000400  -
0xBDCF2A00  0x00000400  +
0xBDCF2E00  0x00000600  -
0xBDCF3400  0x00000400  +
0xBDCF3800  0x00000800  -
0xBDCF4000  0x00000200  +
0xBDCF4200  0x00000400  -
0xBDCF4600  0x00000400  +
0xBDCF4A00  0x00000400  -
0xBDCF4E00  0x00000600  +
0xBDCF5400  0x00000600  -
0xBDCF5A00  0x00000800  +
0xBDCF6200  0x00000200  -
0xBDCF6400  0x00000A00  +
0xBDCF6E00  0x00000200  -
0xBDCF7000  0x00000400  +
0xBDCF7400  0x00000200  -
0xBDCF7600  0x00000800  +
0xBDCF7E00  0x00001200  -
0xBDCF9000  0x00001E00  +
0xBDCFAE00  0x00000C00  -
0xBDCFBA00  0x00000200  +
0xBDCFBC00  0x00000400  -
0xBDCFC000  0x00000200  +
0xBDCFC200  0x00000200  -
0xBDCFC400  0x00000800  +
0xBDCFCC00  0x00000200  -
0xBDCFCE00  0x00001000  +
0xBDCFDE00  0x00006C00  -
0xBDD04A00  0x00000400  +
0xBDD04E00  0x00000200  -
0xBDD05000  0x00000200  +
0xBDD05200  0x00000A00  -
0xBDD05C00  0x00000200  +
0xBDD05E00  0x00003000  -
0xBDD08E00  0x00000200  +
0xBDD09000  0x00000200  -
0xBDD09200  0x00000400  +
0xBDD09600  0x00000200  -
0xBDD09800  0x00000200  +
0xBDD09A00  0x00001200  -
0xBDD0AC00  0x00000400  +
0xBDD0B000  0x00000400  -
0xBDD0B400  0x00000200  +
0xBDD0B600  0x00000200  -
0xBDD0B800  0x00000400  +
0xBDD0BC00  0x00000C00  -
0xBDD0C800  0x00000200  +
0xBDD0CA00  0x00004200  -
0xBDD10C00  0x00000200  +
0xBDD10E00  0x00000200  -
0xBDD11000  0x00000200  +
0xBDD11200  0x00000E00  -
0xBDD12000  0x00000200  +
0xBDD12200  0x00000200  -
0xBDD12400  0x00000200  +
0xBDD12600  0x00000400  -
0xBDD12A00  0x00000200  +
0xBDD12C00  0x00000600  -
0xBDD13200  0x00000200  +
0xBDD13400  0x00000200  -
0xBDD13600  0x00000400  +
0xBDD13A00  0x00000200  -
0xBDD13C00  0x00000200  +
0xBDD13E00  0x00000400  -
0xBDD14200  0x00000200  +
0xBDD14400  0x00000600  -
0xBDD14A00  0x00000200  +
0xBDD14C00  0x00000600  -
0xBDD15200  0x00000200  +
0xBDD15400  0x00000800  -
0xBDD15C00  0x00000200  +
0xBDD15E00  0x00000600  -
0xBDD16400  0x00000200  +
0xBDD16600  0x00000200  -
0xBDD16800  0x00000400  +
0xBDD16C00  0x00009200  -
0xBDD1FE00  0x00000200  +
0xBDD20000  0x00003800  -
0xBDD23800  0x00000200  +
0xBDD23A00  0x00000600  -
0xBDD24000  0x00000200  +
0xBDD24200  0x00002400  -
0xBDD26600  0x00000200  +
0xBDD26800  0x00001000  -
0xBDD27800  0x00000400  +
0xBDD27C00  0x00000200  -
0xBDD27E00  0x00000400  +
0xBDD28200  0x00000200  -
0xBDD28400  0x00000400  +
0xBDD28800  0x00000400  -
0xBDD28C00  0x00000400  +
0xBDD29000  0x00000200  -
0xBDD29200  0x00000400  +
0xBDD29600  0x00000600  -
0xBDD29C00  0x00000200  +
0xBDD29E00  0x00000400  -
0xBDD2A200  0x00000C00  +
0xBDD2AE00  0x0000D200  -
0xBDD38000  0x00008E00  +
0xBDD40E00  0x00000400  -
0xBDD41200  0x00000400  +
0xBDD41600  0x00000200  -
0xBDD41800  0x00000600  +
0xBDD41E00  0x00000200  -
0xBDD42000  0x00000A00  +
0xBDD42A00  0x00000200  -
0xBDD42C00  0x00001C00  +
0xBDD44800  0x00000200  -
0xBDD44A00  0x00006400  +
0xBDD4AE00  0x00000400  -
0xBDD4B200  0x00006C00  +
0xBDD51E00  0x00000200  -
0xBDD52000  0x00007400  +
0xBDD59400  0x00000200  -
0xBDD59600  0x00007600  +
0xBDD60C00  0x00000400  -
0xBDD61000  0x00019E00  +
0xBDD7AE00  0x00001000  -
0xBDD7BE00  0x00001000  +
0xBDD7CE00  0x00000600  -
0xBDD7D400  0x00000200  +
0xBDD7D600  0x00000600  -
0xBDD7DC00  0x00000200  +
0xBDD7DE00  0x00003600  -
0xBDD81400  0x00000200  +
0xBDD81600  0x00000E00  -
0xBDD82400  0x00000400  +
0xBDD82800  0x00000C00  -
0xBDD83400  0x00002A00  +
0xBDD85E00  0x00008200  -
0xBDD8E000  0x00000E00  +
0xBDD8EE00  0x00000800  -
0xBDD8F600  0x00001800  +
0xBDD90E00  0x00001800  -
0xBDD92600  0x00000200  +
0xBDD92800  0x00017E00  -
0xBDDAA600  0x00000200  +
0xBDDAA800  0x00001C00  -
0xBDDAC400  0x00000200  +
0xBDDAC600  0x00000200  -
0xBDDAC800  0x00000400  +
0xBDDACC00  0x00000200  -
0xBDDACE00  0x00002000  +
0xBDDAEE00  0x00002200  -
0xBDDB1000  0x00000200  +
0xBDDB1200  0x00003600  -
0xBDDB4800  0x00000200  +
0xBDDB4A00  0x00009200  -
0xBDDBDC00  0x00000200  +
0xBDDBDE00  0x00000200  -
0xBDDBE000  0x00001A00  +
0xBDDBFA00  0x00000200  -
0xBDDBFC00  0x00000E00  +
0xBDDC0A00  0x00000200  -
0xBDDC0C00  0x00002200  +
0xBDDC2E00  0x00000A00  -
0xBDDC3800  0x00000200  +
0xBDDC3A00  0x00002400  -
0xBDDC5E00  0x00006000  +
0xBDDCBE00  0x00000400  -
0xBDDCC200  0x00005C00  +
0xBDDD1E00  0x00001600  -
0xBDDD3400  0x00000200  +
0xBDDD3600  0x00000200  -
0xBDDD3800  0x00000200  +
0xBDDD3A00  0x00000400  -
0xBDDD3E00  0x00000200  +
0xBDDD4000  0x00000200  -
0xBDDD4200  0x00000400  +
0xBDDD4600  0x00000400  -
0xBDDD4A00  0x00001A00  +
0xBDDD6400  0x00000200  -
0xBDDD6600  0x00001200  +
0xBDDD7800  0x00000400  -
0xBDDD7C00  0x00000800  +
0xBDDD8400  0x00000200  -
0xBDDD8600  0x00001800  +
0xBDDD9E00  0x00000A00  -
0xBDDDA800  0x00000600  +
0xBDDDAE00  0x00000C00  -
0xBDDDBA00  0x00000200  +
0xBDDDBC00  0x00000200  -
