# Rescue Logfile. Created by GNU ddrescue version 1.17
# Command line: ddrescue -d /dev/sdb /home/rescue/image.img /home/rescue/rescuelog.log
# current_pos  current_status
0x649127000     ?
#      pos        size  status
0x1A6ABE00  0x00010000  *
0x1A6BBE00  0x000DB000  +
0x1A796E00  0x00005000  *
0x1A79BE00  0x00001000  +
0x1A79CE00  0x00000200  -
0x1A79D000  0x0000F000  *
0x1A7AC000  0x000D6E00  +
0x1A882E00  0x00009000  *
0x1A88BE00  0x00001000  +
0x1A88CE00  0x00000200  -
0x1A88D000  0x0000F000  *
0x1A89C000  0x001E3E00  +
0x1AA7FE00  0x0000C000  *
0x1AA8BE00  0x000DF000  +
0x1AB6AE00  0x00001000  *
0x1AB6BE00  0x00009000  +
0x1AB74E00  0x00000200  -
0x1AB75000  0x00007000  *
0x1AB7C000  0x000DAE00  +
0x1AC56E00  0x00005000  *
0x1AC5BE00  0x00001000  +
0x1AC5CE00  0x00000200  -
0x1AC5D000  0x0000F000  *
0x1AC6C000  0x000D5E00  +
0x1AD41E00  0x0000A000  *
0x1AD4BE00  0x00000200  -
0x1AD4C000  0x00010000  *
0x1AD5C000  0x0007CE00  +
0x1ADD8E00  0x00003000  *
0x1ADDBE00  0x00000200  -
0x1ADDC000  0x00010000  *
0x1ADEC000  0x00000200  -
0x1ADEC200  0x00020000  *
0x1AE0C200  0x00000200  -
0x1AE0C400  0x00040000  *
0x1AE4C400  0x00000200  -
0x1AE4C600  0x00080000  *
0x1AECC600  0x00000200  -
0x1AECC800  0x00100000  *
0x1AFCC800  0x00037600  +
0x1B003E00  0x00000200  -
0x1B004000  0x001C8A00  *
0x1B1CCA00  0x00034400  +
0x1B200E00  0x00000200  -
0x1B201000  0x0035D000  *
0x1B55E000  0x00000200  -
0x1B55E200  0x006BA000  *
0x1BC18200  0x1747EC00  +
0x33096E00  0x00005000  *
0x3309BE00  0x000E6000  +
0x33181E00  0x0000A000  *
0x3318BE00  0x000E2000  +
0x3326DE00  0x0000E000  *
0x3327BE00  0x000DD000  +
0x33358E00  0x00003000  *
0x3335BE00  0x000E8000  +
0x33443E00  0x00008000  *
0x3344BE00  0x000E4000  +
0x3352FE00  0x0000C000  *
0x3353BE00  0x001F1000  +
0x3372CE00  0x0000F000  *
0x3373BE00  0x000DC000  +
0x33817E00  0x00004000  *
0x3381BE00  0x000E7000  +
0x33902E00  0x00009000  *
0x3390BE00  0x000E2000  +
0x339EDE00  0x0000E000  *
0x339FBE00  0x000DD000  +
0x33AD8E00  0x00003000  *
0x33ADBE00  0x000E9000  +
0x33BC4E00  0x00007000  *
0x33BCBE00  0x000E4000  +
0x33CAFE00  0x0000C000  *
0x33CBBE00  0x001F1000  +
0x33EACE00  0x0000F000  *
0x33EBBE00  0x000DD000  +
0x33F98E00  0x00003000  *
0x33F9BE00  0x000E8000  +
0x34083E00  0x00008000  *
0x3408BE00  0x000E3000  +
0x3416EE00  0x0000D000  *
0x3417BE00  0x000DF000  +
0x3425AE00  0x00002000  -
0x3425CE00  0x00010000  *
0x3426CE00  0x000D9000  +
0x34345E00  0x00006000  *
0x3434BE00  0x000E5000  +
0x34430E00  0x0000B000  *
0x3443BE00  0x001A2000  +
0x345DDE00  0x0000E000  *
0x345EBE00  0x00043000  +
0x3462EE00  0x0000D000  *
0x3463BE00  0x0008D000  +
0x346C8E00  0x00003000  *
0x346CBE00  0x0004E000  +
0x34719E00  0x00002000  *
0x3471BE00  0x00098000  +
0x347B3E00  0x00008000  *
0x347BBE00  0x00049000  +
0x34804E00  0x00007000  *
0x3480BE00  0x000E5000  +
0x348F0E00  0x0000B000  *
0x348FBE00  0x0008F000  +
0x3498AE00  0x00001000  -
0x3498BE00  0x00050000  +
0x349DBE00  0x00010000  *
0x349EBE00  0x000DB000  +
0x34AC6E00  0x00005000  *
0x34ACBE00  0x000BC000  +
0x34B87E00  0x00004000  *
0x34B8BE00  0x00027000  +
0x34BB2E00  0x00009000  *
0x34BBBE00  0x000B8000  +
0x34C73E00  0x00008000  *
0x34C7BE00  0x000E3000  +
0x34D5EE00  0x0000D000  *
0x34D6BE00  0x00044000  +
0x34DAFE00  0x0000C000  *
0x34DBBE00  0x0008E000  +
0x34E49E00  0x00002000  *
0x34E4BE00  0x0004F000  +
0x34E9AE00  0x00002000  -
0x34E9CE00  0x00010000  *
0x34EACE00  0x00089000  +
0x34F35E00  0x00006000  *
0x34F3BE00  0x0004B000  +
0x34F86E00  0x00005000  *
0x34F8BE00  0x00094000  +
0x3501FE00  0x0000C000  *
0x3502BE00  0x00046000  +
0x35071E00  0x0000A000  *
0x3507BE00  0x0008F000  +
0x3510AE00  0x00002000  -
0x3510CE00  0x00010000  *
0x3511CE00  0x00040000  +
0x3515CE00  0x0000F000  *
0x3516BE00  0x000DD000  +
0x35248E00  0x00003000  *
0x3524BE00  0x000BD000  +
0x35308E00  0x00003000  *
0x3530BE00  0x00028000  +
0x35333E00  0x00008000  *
0x3533BE00  0x000B8000  +
0x353F3E00  0x00008000  *
0x353FBE00  0x000E3000  +
0x354DEE00  0x0000D000  *
0x354EBE00  0x00045000  +
0x35530E00  0x0000B000  *
0x3553BE00  0x0008F000  +
0x355CAE00  0x00002000  -
0x355CCE00  0x00010000  *
0x355DCE00  0x00040000  +
0x3561CE00  0x0000F000  *
0x3562BE00  0x0008A000  +
0x356B5E00  0x00006000  *
0x356BBE00  0x0004C000  +
0x35707E00  0x00004000  *
0x3570BE00  0x00095000  +
0x357A0E00  0x0000B000  *
0x357ABE00  0x00047000  +
0x357F2E00  0x00009000  *
0x357FBE00  0x00091000  +
0x3588CE00  0x0000F000  *
0x3589BE00  0x00043000  +
0x358DEE00  0x0000D000  *
0x358EBE00  0x000DE000  +
0x359C9E00  0x00002000  *
0x359CBE00  0x000BE000  +
0x35A89E00  0x00002000  *
0x35A8BE00  0x00029000  +
0x35AB4E00  0x00007000  *
0x35ABBE00  0x000B9000  +
0x35B74E00  0x00007000  *
0x35B7BE00  0x000E5000  +
0x35C60E00  0x0000B000  *
0x35C6BE00  0x00047000  +
0x35CB2E00  0x00009000  *
0x35CBBE00  0x00090000  +
0x35D4BE00  0x00010000  *
0x35D5BE00  0x00042000  +
0x35D9DE00  0x0000E000  *
0x35DABE00  0x0008B000  +
0x35E36E00  0x00005000  *
0x35E3BE00  0x0004D000  +
0x35E88E00  0x00003000  *
0x35E8BE00  0x00097000  +
0x35F22E00  0x00009000  *
0x35F2BE00  0x00049000  +
0x35F74E00  0x00007000  *
0x35F7BE00  0x00092000  +
0x3600DE00  0x0000E000  *
0x3601BE00  0x00044000  +
0x3605FE00  0x0000C000  *
0x3606BE00  0x000DF000  +
0x3614AE00  0x00002000  -
0x3614CE00  0x00010000  *
0x3615CE00  0x000AE000  +
0x3620AE00  0x00002000  -
0x3620CE00  0x00010000  *
0x3621CE00  0x0001A000  +
0x36236E00  0x00001000  -
0x36237E00  0x00006000  *
0x3623DE00  0x000B9000  +
0x362F6E00  0x00005000  *
0x362FBE00  0x000E6000  +
0x363E1E00  0x0000A000  *
0x363EBE00  0x00048000  +
0x36433E00  0x00008000  *
0x3643BE00  0x11B2D000  +
0x47F68E00  0x00003000  *
0x47F6BE00  0x00001000  -
0x47F6CE00  0x00010000  *
0x47F7CE00  0x00001000  -
0x47F7DE00  0x00020000  *
0x47F9DE00  0x00001000  -
0x47F9EE00  0x00040000  *
0x47FDEE00  0x00001000  -
0x47FDFE00  0x00080000  *
0x4805FE00  0x21433000  +
0x69492E00  0x00009000  *
0x6949BE00  0x00001000  -
0x6949CE00  0x00010000  *
0x694ACE00  0x199CD000  +
0x82E79E00  0x00002000  *
0x82E7BE00  0x00000400  -
0x82E7C200  0x00010000  *
0x82E8C200  0x64FC0C00  +
0xE7E4CE00  0x0000F000  *
0xE7E5BE00  0x0209B000  +
0xE9EF6E00  0x00005000  *
0xE9EFBE00  0x1D7F4000  +
0x1076EFE00  0x0000C000  *
0x1076FBE00  0x02CFC000  +
0x10A3F7E00  0x00004000  *
0x10A3FBE00  0x11EA1000  +
0x11C29CE00  0x0000F000  *
0x11C2ABE00  0x000DD000  +
0x11C388E00  0x00003000  *
0x11C38BE00  0x000E8000  +
0x11C473E00  0x00008000  *
0x11C47BE00  0x000E3000  +
0x11C55EE00  0x0000D000  *
0x11C56BE00  0x001F1000  +
0x11C75CE00  0x0000F000  *
0x11C76BE00  0x000DC000  +
0x11C847E00  0x00004000  *
0x11C84BE00  0x000E7000  +
0x11C932E00  0x00009000  *
0x11C93BE00  0x000E3000  +
0x11CA1EE00  0x0000D000  *
0x11CA2BE00  0x000DE000  +
0x11CB09E00  0x00002000  *
0x11CB0BE00  0x000E9000  +
0x11CBF4E00  0x00007000  *
0x11CBFBE00  0x000E5000  +
0x11CCE0E00  0x0000B000  *
0x11CCEBE00  0x001F2000  +
0x11CEDDE00  0x0000E000  *
0x11CEEBE00  0x000DD000  +
0x11CFC8E00  0x00003000  *
0x11CFCBE00  0x000E9000  +
0x11D0B4E00  0x00007000  *
0x11D0BBE00  0x000E4000  +
0x11D19FE00  0x0000C000  *
0x11D1ABE00  0x000DF000  +
0x11D28AE00  0x00001000  *
0x11D28BE00  0x000EB000  +
0x11D376E00  0x00005000  *
0x11D37BE00  0x000E6000  +
0x11D461E00  0x0000A000  *
0x11D46BE00  0x001F3000  +
0x11D65EE00  0x0000D000  *
0x11D66BE00  0x000DF000  +
0x11D74AE00  0x00001000  *
0x11D74BE00  0x000EA000  +
0x11D835E00  0x00006000  *
0x11D83BE00  0x000E5000  +
0x11D920E00  0x0000B000  *
0x11D92BE00  0x000E1000  +
0x11DA0CE00  0x0000F000  *
0x11DA1BE00  0x000DC000  +
0x11DAF7E00  0x00004000  *
0x11DAFBE00  0x000E7000  +
0x11DBE2E00  0x00009000  *
0x11DBEBE00  0x001F5000  +
0x11DDE0E00  0x0000B000  *
0x11DDEBE00  0x000E0000  +
0x11DECBE00  0x00010000  *
0x11DEDBE00  0x000DB000  +
0x11DFB6E00  0x00005000  *
